Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Summer_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW,Winter_Capacity_MW
BATTERY_STORAGE,BIOMASS,COAL,GAS_DUAL_FUEL,GAS_SINGLE_FUEL,GEOTHERMAL,HYDRO,LBW,NUCLEAR,OIL,OSW,OTHER,PUMPED_STORAGE,UPV,BATTERY_STORAGE,BIOMASS,COAL,GAS_DUAL_FUEL,GAS_SINGLE_FUEL,GEOTHERMAL,HYDRO,LBW,NUCLEAR,OIL,OSW,OTHER,PUMPED_STORAGE,UPV
9041.8,117.5,12383.4,5118.1,54391.0,,536.7,39785.9,4980.0,619.4,,265.4,,26625.5,9041.8,117.5,12452.0,5381.7,57966.1,,536.7,39785.9,5120.0,732.9,,278.0,,26614.7
1079.4,20.8,5616.0,1403.7,6786.1,8.6,775.8,9801.0,,48.5,,21.1,590.4,4475.8,1079.4,22.1,5652.0,1570.4,7195.3,13.8,746.4,9801.0,,48.5,,22.6,590.4,4457.0
774.1,1012.9,438.5,5754.4,8633.2,,1927.3,1603.2,3326.9,5820.6,829.3,215.7,1863.4,3136.7,772.2,1039.5,438.0,6340.3,9377.0,,1948.5,1603.9,3368.5,6276.9,829.3,222.5,1863.0,3086.1
137.6,64.3,13020.0,1732.8,9678.0,,488.6,4707.2,2240.2,528.6,,740.0,440.0,4756.6,137.6,75.3,13252.4,1837.0,11042.9,,488.6,4717.1,2296.5,612.9,,728.8,440.0,4070.5
1.3,347.0,1638.2,2257.5,8402.5,,251.3,3775.3,1141.0,370.4,,391.7,2185.6,1986.6,1.3,348.8,1649.6,2327.7,9537.6,,247.2,3775.3,1161.0,436.0,,395.3,2203.0,1985.4
10.0,723.0,6487.1,3245.7,26143.5,,633.3,184.5,5344.9,7.0,,548.2,30.0,3395.2,10.0,743.6,6566.3,3405.2,26803.6,,633.3,184.5,5427.0,7.0,,560.5,30.0,3273.8
30.6,481.40000000000003,12115.0,5396.5,10932.2,,799.1,22808.0,2843.6,1312.0,,92.9,,4578.3,30.6,473.2,12178.9,6151.3,12093.6,,796.8,22808.8,2943.2,1492.9,,96.6,,4152.0
3004.2,525.9,,328.8,14380.7,914.2,7834.9,1572.3,1122.0,166.5,,292.3,2047.1,6802.1,3004.2,524.7,,328.8,14944.5,964.4,7805.6,1568.8,1122.0,166.5,,297.0,2077.1,6663.0
254.3,304.0,,16045.2,7389.0,,4480.900000000001,3388.7,3304.6,3129.8,130.0,162.6,1425.1,2337.5,254.3,314.4,,17254.3,8219.8,,4496.5,3388.7,3355.8,3457.3,130.0,162.6,1425.1,2315.3
524.0,198.7,,337.0,3415.9,17.700000000000003,7925.1,3976.5,,,,35.800000000000004,,1229.7,524.0,200.7,,383.5,3681.2,28.5,7787.4,3976.5,,,,35.800000000000004,,1228.0
113.9,411.2,5382.6,11296.2,20715.9,,829.9,1322.8,10741.9,1470.8,,298.8,1926.9,1660.1,113.9,411.9,5382.3,11435.4,21721.9,,845.0,1322.8,10983.5,1860.7,,304.3,1938.9,1631.0
97.7,733.4,920.1,7524.4,10677.9,,1152.1,587.0,5313.2,1026.0,12.0,124.39999999999999,3015.1,7285.1,97.7,735.8,924.9,8608.6,11323.8,,1227.2,587.0,5517.5,1200.3,12.0,126.0,3015.1,7251.8
176.5,104.9,23278.6,6056.6,37803.9,,1283.5,9670.9,16636.4,731.6,,447.9,238.0,6047.5,176.5,109.3,23441.9,7085.3,40938.3,,1319.1,9670.9,17205.5,839.8,,450.5,238.0,5867.5
121.0,198.9,9726.5,4182.3,16488.8,,6781.1,1469.5,8184.4,150.0,,23.4,1919.3,1681.8,121.0,198.9,9871.5,5127.0,17906.4,,6506.6,1469.5,8431.3,151.0,,23.4,1900.8,1669.7
209.3,591.7,8922.0,13355.9,9135.3,,2388.1,,11749.9,480.4,,150.8,2956.0,6433.4,209.3,594.8,9039.0,15451.7,9430.0,,2387.6,,12111.9,565.3,,151.8,2956.0,6405.3
575.7,953.1,3536.3,31340.9,18264.6,,43.5,,3666.0,1567.8,,370.9,,12118.2,575.7,959.0,3579.3,33152.0,19355.8,,43.5,,3737.0,1905.2,,371.2,,12117.3
147.7,1669.1,10591.8,8219.7,24637.4,,3966.0,,8080.0,1037.7,,55.7,1815.4,5273.1,147.7,1692.7,10592.6,9153.7,26338.4,,3971.9,,8080.0,1258.5,,55.9,1814.2,5278.5
10364.7,146.1,50.0,1975.1,15402.9,908.0,1903.4,4768.8,,32.400000000000006,,420.5,1822.8,15626.7,10364.7,149.1,50.0,1997.2,15865.1,1059.8,1909.1,4768.8,,33.2,,423.4,1822.8,15509.2
3209.8,22.2,2558.0,863.8,13753.6,,2843.3,1234.5,3937.0,267.0,,3.2,216.3,5659.0,3209.8,22.2,2558.0,921.8,14594.8,,2843.3,1234.5,4003.0,286.0,,3.2,216.3,5644.4
4.7,3.0,5950.8,2018.5,1661.9,,2383.7,6456.6,768.5,659.3,,19.4,,193.1,4.7,3.0,5903.6,2062.0,1636.6,,2383.7,6456.6,768.5,709.4,,19.4,,191.1
22.0,271.4,12086.9,3756.3,23311.0,,531.9,27233.7,1176.7,1209.5,,55.9,258.0,822.7,22.0,271.6,12086.9,3891.8,23696.3,,541.2,27247.1,1255.0,1231.1,,55.9,258.0,815.4
597.0,66.6,5303.0,63.1,4222.0,139.2,5752.8,9215.6,,21.0,,134.4,,4187.4,597.0,67.0,5306.0,70.6,4511.1,147.1,5628.3,9215.3,,21.0,,154.9,,4139.6
4.0,265.3,,602.4,2491.0,,21211.6,3374.9,1151.0,,,9.9,314.0,268.3,4.0,268.3,,697.9,2801.5,,21050.3,3374.9,1172.0,,,9.9,314.0,267.3
1018.8,,2418.9,302.8,7048.9,597.5,1276.2,1091.3,,,,17.8,,4773.7,1018.8,,2425.2,331.9,7272.6,815.9,1260.9,1120.9,,,,18.4,,4722.6
